key,version,date_from,date_to,CodigoCNAEPrincipal,DescricaoCNAEPrincipal
62,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1340599,"OUTROS SERVIÇOS"
63,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1351100,"FABRICAÇÃO DE A"
64,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1352900,"FABRICAÇÃO DE A"
65,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1354500,"FABRICAÇÃO DE T"
66,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1359600,"FABRICAÇÃO DE O"
67,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1411801,"CONFECÇÃO DE RO"
68,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1412601,"CONFECÇÃO DE PE"
69,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1412602,"CONFECÇÃO, SOB "
70,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1412603,"FACÇÃO DE PEÇAS"
71,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1413401,"CONFECÇÃO DE RO"
72,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1413403,"FACÇÃO DE ROUPA"
73,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1414200,"FABRICAÇÃO DE A"
74,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1421500,"FABRICAÇÃO DE M"
75,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1422300,"FABRICAÇÃO DE A"
76,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1521100,"FABRICAÇÃO DE A"
77,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1531901,"FABRICAÇÃO DE C"
78,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1531902,"ACABAMENTO DE C"
79,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1532700,"FABRICAÇÃO DE T"
80,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1533500,"FABRICAÇÃO DE C"
81,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1539400,"FABRICAÇÃO DE C"
82,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1540800,"FABRICAÇÃO DE P"
83,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1610201,"SERRARIAS COM D"
84,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1621800,"FABRICAÇÃO DE M"
85,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1622602,"FABRICAÇÃO DE E"
86,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1622699,"FABRICAÇÃO DE O"
87,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1629301,"FABRICAÇÃO DE A"
88,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1629302,"FABRICAÇÃO DE A"
89,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1721400,"FABRICAÇÃO DE P"
90,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1731100,"FABRICAÇÃO DE E"
91,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1733800,"FABRICAÇÃO DE C"
92,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1741902,"FABRICAÇÃO DE P"
93,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1742701,"FABRICAÇÃO DE F"
94,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1811301,"IMPRESSÃO DE JO"
95,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1811302,"IMPRESSÃO DE LI"
96,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1813001,"IMPRESSÃO DE MA"
97,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1813099,"IMPRESSÃO DE MA"
98,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1821100,"SERVIÇOS DE PRÉ"
99,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1830001,"REPRODUÇÃO DE S"
100,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",1921700,"FABRICAÇÃO DE P"
101,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2014200,"FABRICAÇÃO DE G"
102,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2029100,"FABRICAÇÃO DE P"
103,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2061400,"FABRICAÇÃO DE S"
104,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2062200,"FABRICAÇÃO DE P"
105,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2063100,"FABRICAÇÃO DE C"
106,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2071100,"FABRICAÇÃO DE T"
107,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2073800,"FABRICAÇÃO DE I"
108,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2099199,"FABRICAÇÃO DE O"
109,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2121101,"FABRICAÇÃO DE M"
110,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2122000,"FABRICAÇÃO DE M"
111,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2211100,"FABRICAÇÃO DE P"
112,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2212900,"REFORMA DE PNEU"
113,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2219600,"FABRICAÇÃO DE A"
114,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2222600,"FABRICAÇÃO DE E"
115,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2223400,"FABRICAÇÃO DE T"
116,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2229301,"FABRICAÇÃO DE A"
117,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2229302,"FABRICAÇÃO DE A"
118,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2229303,"FABRICAÇÃO DE A"
119,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2229399,"FABRICAÇÃO DE A"
120,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2311700,"FABRICAÇÃO DE V"
121,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2319200,"FABRICAÇÃO DE A"
122,1,"1900-01-01 00:00:00","2037-12-31 23:59:59",2320600,"FABRICAÇÃO DE C"
