assuntokey;CNAEPrincipalkey;datakey;radicalcnpjkey;codigoproblemakey;tipoatendimentokey;PorcentagemReclamacoesPorProblema;PorcentagemReclamacoesPorAssunto;PorcentagemReclamacoesPorCNPJ
131;471;3080;1097;1517;6;49;4;35
53;595;15212;18709;516;2;3;0;122
52;595;9843;22081;515;2;5;0;224
235;420;2702;31788;3957;8;146;8;1176
53;595;2976;7093;4573;3;153;1;238
53;596;14353;23378;4633;2;32;0;162
153;255;17342;34737;2559;2;14;0;200
128;299;6012;24399;2135;6;35;2;405
62;723;13502;741;525;6;3;0;5
155;252;9850;1163;2551;6;25;1;11
52;596;9085;23378;4572;2;50;0;257
87;156;16932;16682;4878;6;28;0;98
92;419;18444;25272;1600;2;8;0;137
140;533;10109;22205;1648;3;16;1;219
155;252;4120;1163;4043;1;98;3;28
52;595;7651;27700;488;3;6;0;362
157;575;4414;24649;4478;2;101;3;558
157;575;12268;24322;2553;2;20;1;198
100;723;381;741;1608;6;422;26;194
53;595;1958;27700;516;6;26;2;1414
157;575;15840;24649;2533;2;15;0;155
140;471;12108;8333;1526;6;12;1;68
53;595;14145;28192;516;2;3;0;199
134;533;9271;22205;1642;6;17;1;239
53;595;12690;18709;4573;2;36;0;147
95;172;1025;1831;1481;6;144;9;178
148;516;6811;21946;4470;6;65;2;322
53;595;11533;28042;516;2;4;0;243
99;422;8841;25721;1485;3;16;1;290
53;595;18994;28042;516;2;2;0;147
155;252;17443;1163;2551;2;14;0;6
3;419;2433;3619;69;8;2;0;148
100;614;11307;29680;1608;3;14;0;262
88;204;18999;27647;1474;6;7;0;145
107;795;17483;17255;2299;2;13;0;98
123;445;18467;21309;2130;2;11;0;115
52;596;9030;23378;4572;2;50;0;258
53;595;4739;28192;866;2;18;1;594
53;601;9334;21540;4573;1;48;0;230
75;741;15903;14333;1038;6;6;0;90
193;741;19817;28556;3578;2;18;0;144
92;446;2768;23188;1356;6;48;3;837
52;595;5340;22081;4572;2;85;0;413
53;595;1209;27700;516;6;42;4;2291
53;595;11727;7093;516;2;4;0;60
157;575;8477;24649;2553;3;30;1;290
231;587;4909;7748;3613;6;73;4;157
53;637;19647;15957;516;6;2;0;81
75;422;12182;25721;4594;2;37;0;211
157;571;13143;14450;4478;2;34;1;109
224;826;15122;25749;3607;2;23;1;170
155;252;4633;1163;2572;2;55;3;25
156;579;18609;1241;2637;2;14;0;6
75;595;4159;28042;538;3;12;1;674
73;658;1520;28460;4593;3;302;4;1872
155;252;14109;1163;2551;2;18;1;8
155;252;4032;1163;4043;1;100;3;28
157;571;9006;30743;2638;2;29;1;341
234;808;12703;3234;3616;6;28;1;25
157;575;6708;26838;2553;2;38;2;400
155;252;13437;1163;2551;2;18;1;8
62;595;13008;27700;525;1;4;0;212
153;255;16120;34737;2451;2;15;0;215
91;422;18168;25721;1477;2;8;0;141
155;252;9520;1163;2572;2;27;1;12
52;595;6390;1;4506;2;70;0;0
218;571;10419;30743;3601;2;34;2;295
52;595;8961;27700;515;2;5;0;309
73;658;1322;28460;4593;3;347;5;2152
73;658;1366;28460;4593;3;336;5;2083
100;446;6406;2593;1486;2;23;1;40
73;595;6503;27700;942;2;14;1;425
228;516;18559;33939;3882;6;20;1;182
157;571;11649;14450;2553;2;21;1;124
75;580;14127;29934;538;2;3;0;211
52;595;15029;28192;515;2;3;0;187
155;252;9178;1163;2551;2;27;1;12
53;611;8509;15715;4599;3;54;0;184
148;575;7583;24649;4470;2;58;1;325
92;445;14666;21309;4883;6;33;0;145
31;49;10367;25358;295;3;2;0;244
53;595;3213;33382;4106;2;127;1;1038
94;436;2277;20656;1480;6;64;4;907
52;595;19999;28042;515;2;2;0;140
218;571;9263;30743;4683;2;50;2;331
81;264;19339;29618;1314;2;6;0;153
62;595;7286;27700;525;2;7;0;380
231;575;529;24566;3613;6;682;43;4643
53;472;15283;25221;516;2;3;0;165
55;641;5474;31000;491;6;8;1;566
52;595;3023;28042;960;6;31;1;927
157;575;18062;24649;2485;3;13;0;136
52;607;7129;4288;515;2;7;0;60
92;419;19094;25272;1600;2;8;0;132
157;575;10148;24649;4489;3;44;1;242
236;631;7166;30760;4410;2;61;3;429
231;571;8474;14450;3885;3;45;2;170
53;595;377;24611;516;6;136;14;6528
94;717;6103;30721;1480;6;24;1;503
119;170;3976;30719;1505;2;37;2;772
157;575;9223;24649;4447;2;48;1;267
153;255;5202;34737;2461;1;47;2;667
156;571;7645;21265;2552;2;33;2;278
53;611;19504;15715;4599;1;23;0;80
53;595;9256;24611;4507;2;48;0;265
53;611;8696;15715;4599;3;52;0;180
100;422;16211;25721;1486;2;9;0;158
155;252;10026;1163;2551;6;25;1;11
52;595;8733;27472;488;2;5;0;314
157;575;11128;24649;4478;2;40;1;221
62;595;1929;24611;4582;6;237;3;1275
100;626;6129;33858;1364;3;22;1;552
123;422;16345;25721;2068;2;12;0;157
95;422;18178;25721;1603;2;8;0;141
124;422;7574;25721;1386;3;18;1;339
148;516;13994;33939;4439;1;31;1;242
100;389;6405;32646;1486;2;23;1;509
155;252;2708;33491;2572;6;94;5;1236
77;595;2754;27700;540;6;19;2;1005
193;741;19317;28668;3890;2;20;0;148
124;172;15436;28144;1510;6;9;0;182
157;571;18265;13264;2553;2;13;0;72
52;595;9866;7081;515;2;5;0;71
95;156;6755;16682;1481;2;21;1;246
128;196;19536;6647;2418;2;12;0;34
86;442;11951;16609;1472;6;12;0;138
89;158;2459;27505;1475;6;59;3;1118
57;321;2861;27987;643;6;22;1;978
193;623;16616;33502;3199;2;19;1;201
52;601;19364;32141;515;2;2;0;165
65;621;6421;27723;528;6;8;1;431
52;596;3902;23378;4632;2;118;1;599
95;172;1928;1831;1481;6;76;4;94
157;575;16866;26838;2553;1;15;0;159
53;77;2931;1423;516;2;17;1;48
157;575;12474;26838;2553;2;20;1;215
100;387;16193;28511;1486;2;9;0;176
62;596;13198;23378;4582;6;34;0;177
52;595;3975;28042;4655;3;117;1;705
91;626;5919;21444;1477;6;24;1;362
56;299;10698;8369;869;2;8;0;78
218;575;12756;24322;3601;2;28;1;190
131;472;19598;18141;1393;8;7;0;92
100;472;2680;25221;1486;6;55;3;941
73;658;1641;28460;4593;3;279;4;1734
153;255;20081;34737;4474;2;22;0;172
53;422;11451;25721;848;3;7;0;224
93;446;9979;23385;2101;6;21;0;234
156;575;16121;26838;2552;6;15;0;166
52;595;7964;29834;4572;6;57;0;374
193;741;8268;16018;3849;3;46;2;193
94;436;2453;20656;1480;6;60;3;842
99;422;2270;25721;1485;6;65;4;1133
156;571;15987;21265;2552;2;15;0;133
157;575;18668;24649;2553;3;13;0;132
75;616;149;33839;4594;6;3083;50;22710
155;252;15033;1163;2513;2;16;1;7
95;723;5351;741;1603;6;29;1;13
102;443;4048;136;1488;6;36;2;3
157;575;15149;26838;2553;2;16;1;177
155;252;15826;1163;2551;1;16;0;7
157;571;11583;14450;2553;2;22;1;124
156;571;7922;14450;2573;3;32;1;182
52;595;9137;22081;4506;2;49;0;241
128;299;3075;24149;1514;6;49;4;785
155;252;14219;1163;2551;2;17;1;8
153;255;3475;34737;2549;2;73;4;999
153;255;7822;34737;2451;3;31;1;444
235;433;56;32012;3481;8;6216;419;57164
52;595;15236;22081;557;2;3;0;144
155;252;2740;33491;2494;6;91;5;1222
157;575;11438;24649;2553;2;22;1;215
105;489;578;31018;1995;6;345;18;5366
155;252;17411;1163;2657;2;15;0;6
157;575;952;24322;4489;3;471;16;2554
155;252;9707;1163;2572;2;26;1;11
193;741;642;26490;3849;6;599;30;4126
218;579;7300;28897;3873;3;53;2;395
157;575;13797;24322;2553;3;18;1;176
157;575;8323;26838;4478;3;53;1;322
155;252;4851;1163;4476;2;92;3;23
153;255;1233;33551;2549;6;206;12;2721
62;576;9947;28973;525;6;5;0;291
152;533;18284;22205;4462;3;24;0;121
52;595;14810;28024;557;2;3;0;189
62;595;4171;28042;525;3;12;1;672
157;575;7875;24322;4478;2;56;1;308
157;575;15841;24649;2638;2;16;0;155
75;571;7137;21265;4570;2;64;1;297
52;595;5488;7093;4572;2;83;0;129
52;607;7920;28054;4572;3;57;0;354
236;631;7948;17954;4006;2;50;2;225
53;595;4232;7093;558;3;13;1;167
155;252;17343;1163;2473;1;14;0;6
52;595;2899;22081;488;3;16;1;761
54;595;8821;27739;4574;3;51;0;314
235;595;10664;1;3542;6;33;2;0
87;445;14555;1033;4878;6;33;0;7
52;596;15976;23378;515;2;3;0;146
111;386;18840;28523;1374;2;7;0;151
138;170;14508;27650;1524;2;10;0;190
155;252;17980;1163;4445;3;24;0;6
228;516;19900;9622;3882;6;19;1;48
75;595;11878;28192;538;2;4;0;237
235;445;696;21309;3390;8;487;33;3061
52;624;16751;32765;488;1;2;0;195
157;571;5188;14450;2553;2;49;3;278
226;595;16030;28192;3417;2;21;1;175
53;596;10282;23378;489;2;4;0;227
52;596;8876;23378;4572;3;51;0;263
72;445;4960;21309;4592;6;92;1;429
155;252;4208;1163;4043;1;96;3;27
157;575;1134;23;2553;6;225;13;2
153;255;14425;34737;2492;2;17;1;240
157;575;1890;24322;2553;6;135;8;1286
62;741;15724;14333;525;6;3;0;91
75;595;9962;7081;538;2;5;0;71
119;614;11596;29680;2064;1;17;1;255
53;637;5896;25494;4573;2;77;0;432
161;637;17702;25494;2938;3;16;0;144
156;575;1179;24566;2552;6;216;13;2083
153;255;10310;34737;2549;6;24;1;336
196;753;1659;3443;3852;6;232;11;207
157;575;18538;26838;2553;6;13;0;144
110;717;8699;30721;1496;2;17;1;353
156;571;10979;21265;2552;2;23;1;193
53;595;1055;27700;516;6;48;5;2625
62;595;8789;885;498;3;5;0;10
53;77;7069;1423;516;2;7;0;20
53;595;9930;28192;516;2;5;0;283
156;571;5397;30743;4477;3;82;2;569
52;596;9229;23378;515;2;5;0;253
157;575;14246;26838;2553;2;17;1;188
140;386;625;28998;1648;6;263;22;4639
53;595;11595;7093;516;2;4;0;61
123;445;17073;21309;2415;2;14;0;124
155;252;4785;1163;4476;2;93;3;24
52;596;9559;23378;488;2;5;0;244
121;445;2247;21309;1629;3;72;5;948
221;524;2378;11611;3604;8;151;9;488
61;723;9586;26139;524;2;5;0;272
196;741;15824;14333;3852;6;24;1;90
124;445;4743;29386;1510;6;31;2;619
226;575;4790;24649;4823;2;100;4;514
156;571;8097;21265;2637;3;32;1;262
75;473;8467;27222;4594;3;54;0;321
240;378;1059;26515;1409;6;133;22;2503
228;705;13375;6232;4824;6;36;1;46
95;445;17502;21309;2393;2;13;0;121
131;473;19070;6904;1797;8;9;0;36
157;575;12737;26838;2444;2;19;1;210
153;255;7735;34737;2549;3;32;1;449
52;610;6663;23727;488;6;7;0;356
157;575;18889;24649;2638;3;13;0;130
53;595;7267;24611;516;3;7;0;338
53;601;12030;32141;4573;2;38;0;267
95;445;19033;21309;1544;2;8;0;111
95;446;3409;18234;1821;6;53;2;534
157;575;15083;26838;2553;2;16;1;177
96;445;2575;4426;1482;6;57;3;171
89;385;672;27505;1475;6;219;13;4093
53;422;14612;21309;516;6;3;0;145
95;419;14630;25272;2042;6;13;0;172
193;742;18864;27462;3890;2;20;1;145
73;252;4330;1163;536;2;12;1;26
52;601;5783;21540;4572;6;79;0;372
95;420;17906;21280;1481;2;8;0;118
53;607;1785;11302;516;6;28;2;633
87;420;15394;21280;1704;1;11;0;138
155;252;8914;1163;2551;3;28;1;13
155;252;11676;1163;2551;2;21;1;9
75;595;6899;22081;4594;2;66;1;320
157;575;15369;26838;2553;1;16;1;174
100;683;16310;21846;2398;2;14;0;133
157;575;7360;24322;2574;3;34;2;330
53;595;14199;18709;516;2;3;0;131
153;255;10365;34737;2549;2;24;1;335
155;252;4730;1163;4476;2;94;3;24
155;252;186;33491;4476;3;2406;83;18005
52;731;77;25226;923;6;1198;67;32761
75;705;3190;23221;786;6;24;2;727
157;571;13431;14450;2553;2;19;1;107
100;472;14201;21501;1486;6;10;0;151
52;595;17300;7093;602;2;3;0;41
234;422;145;24945;3541;6;2442;161;17203
62;575;628;24322;4582;3;729;9;3872
193;741;235;26490;3890;6;1655;82;11272
62;595;2974;22081;525;2;17;2;742
124;445;15435;24390;1510;6;9;0;158
101;422;15426;25721;1487;2;9;0;166
228;516;12573;33939;3882;6;30;1;269
73;595;9805;28192;536;2;5;0;287
53;596;9644;23378;516;2;5;0;242
156;571;12025;21265;2552;2;21;1;176
148;491;15093;24704;2622;6;17;0;163
95;172;16444;1831;1481;2;9;0;11
53;637;4250;15957;516;6;12;1;375
157;571;17834;14450;2638;3;14;0;81
148;614;13946;28333;4481;1;32;1;203
53;596;1401;23378;516;6;36;3;1668
155;252;10818;1163;2494;2;23;1;10
95;422;5270;25721;1821;3;34;1;488
52;595;6211;7081;4632;2;74;0;114
52;620;6594;26860;515;6;7;0;407
53;595;12956;24611;516;2;3;0;189
153;255;18883;34737;2570;2;13;0;183
157;575;10205;24649;2553;3;25;1;241
228;516;13346;9622;3231;3;24;1;72
155;252;3779;1163;4043;1;106;4;30
52;595;457;29762;4632;6;1013;11;6512
156;571;11959;21265;2552;2;21;1;177
155;252;13592;1163;2617;6;19;1;8
95;422;17476;25721;1821;2;10;0;147
53;730;17164;3761;516;2;3;0;21
75;637;6919;25494;4594;2;66;1;368
198;516;919;32732;4762;6;518;21;3561
155;252;3812;1163;4043;1;106;4;30
157;575;9787;24649;2574;2;26;1;251
153;255;11708;34737;2549;2;21;1;296
165;631;969;32708;4357;4;449;17;3375
156;571;10693;21265;2552;2;23;1;198
218;571;13910;30743;3873;2;27;1;221
228;705;13168;23221;4789;6;36;1;176
75;616;3887;33839;980;2;25;1;870
155;252;5711;1163;2473;2;43;2;20
218;580;14889;29934;3873;2;26;1;201
180;469;8313;1647;4136;3;49;2;19
65;710;18459;6565;501;2;2;0;35
228;516;6243;21426;4789;6;76;3;343
152;533;10075;22205;2537;3;25;1;220
52;596;4595;23378;4572;2;99;1;508
157;575;2372;26838;2553;6;107;6;1131
53;472;160;21501;516;6;322;33;13438
93;170;1107;30719;1479;6;133;8;2774
75;730;7225;494;4594;2;63;1;6
52;595;9420;7093;557;2;5;0;75
155;252;3801;1163;4043;1;106;4;30
53;595;7142;28042;516;2;7;0;392
155;252;4732;1163;2551;2;53;3;24
68;644;7624;3344;531;6;6;0;43
157;575;11806;24322;2553;2;21;1;206
75;741;6189;14333;4594;6;74;1;231
154;725;373;26631;2571;6;689;41;7139
52;595;8574;28042;4530;3;52;0;327
53;595;15342;27739;516;1;3;0;180
75;575;8328;24649;538;2;6;0;295
53;595;16184;7093;516;2;3;0;43
75;634;12716;29598;4594;6;36;0;232
100;571;19738;14450;2293;2;11;0;73
52;626;2999;21444;557;3;18;1;715
53;422;5750;18675;516;6;8;0;324
62;634;5886;29598;525;6;8;1;502
75;595;19603;27700;959;2;4;0;141
53;730;7237;26164;516;3;7;0;361
75;630;12288;32556;4594;6;37;0;264
94;377;15326;31510;1602;6;10;0;205
155;252;15782;1163;2551;1;16;0;7
124;185;7524;1369;1510;3;20;1;18
155;252;9970;1163;2473;6;24;1;11
100;389;9864;29277;1608;6;16;1;296
100;723;19178;741;1608;2;8;0;3
52;595;8361;7093;4572;3;54;0;84
101;472;7965;25221;2109;6;26;1;316
226;571;10579;14450;3608;2;34;2;136
100;624;14406;21356;1486;6;10;0;148
157;575;16087;24322;2553;2;15;0;151
75;596;4956;23378;538;2;10;1;471
144;627;11025;33864;2089;2;18;1;307
56;621;1491;17537;4602;6;308;3;1176
53;637;11563;25494;4573;2;39;0;220
203;705;5647;1039;3858;6;68;3;18
157;571;2869;13264;2533;6;88;5;462
230;575;10249;24322;4718;2;46;2;237
131;473;18490;34021;1856;2;10;0;183
157;575;16635;26838;2553;2;15;0;161
155;252;9761;1163;2473;2;25;1;11
155;252;8912;1163;4476;3;50;1;13
62;575;1147;24566;4582;6;399;5;2141
52;595;3069;1;515;4;16;1;0
156;571;16174;21265;2552;2;15;0;131
155;252;3823;1163;4043;1;105;4;30
155;252;11444;1163;4476;2;39;1;10
157;575;10150;24649;2553;3;25;1;242
155;252;8827;1163;2657;3;30;1;13
95;156;307;28179;1481;6;482;30;9178
53;634;17462;29598;516;2;2;0;169
155;252;7483;1163;2551;3;34;2;15
102;445;15684;21309;1488;6;9;0;135
157;575;16898;26838;2553;2;15;0;158
62;607;2164;2128;915;6;42;2;98
153;255;7635;34737;2451;3;32;2;454
53;595;11439;33382;4573;2;39;0;291
53;595;6745;27739;4573;2;67;0;411
218;575;6480;24322;3263;2;50;3;375
100;626;16382;28150;1486;2;9;0;171
193;741;12443;22249;3427;6;27;1;178
240;237;9125;5376;2154;6;23;2;58
93;445;14312;24390;1479;6;10;0;170
75;579;4678;28897;538;6;11;1;617
75;588;19091;3850;1109;2;5;0;20
156;575;2134;24322;2443;3;114;7;1139
157;571;10592;14450;2553;6;24;1;136
157;571;16084;14450;2553;2;15;0;89
157;575;2037;23;2553;6;125;7;1
75;575;16815;26838;538;2;3;0;159
157;575;13378;24322;2485;2;18;1;181
53;730;3953;8049;4573;6;115;1;203
131;366;17222;24691;1856;2;10;0;143
156;575;12126;26838;2552;2;21;1;221
236;631;5704;28770;2770;2;48;4;504
100;420;4057;21280;4891;2;120;2;524
100;152;6295;31696;4891;2;77;1;503
52;596;2252;23378;515;3;22;2;1038
157;472;100;21501;2533;6;2533;157;21501
157;575;2059;23;2553;6;123;7;1
93;624;12334;23964;1479;2;11;0;194
53;596;13914;23378;516;2;3;0;168
100;419;4655;25639;1486;6;31;2;550
53;595;20045;28024;489;2;2;0;139
155;252;13127;1163;4476;2;34;1;8
153;255;16011;34737;2549;2;15;0;216
52;596;6357;23378;515;2;8;0;367
155;252;7528;1163;2657;3;35;2;15
62;595;11319;29762;525;2;4;0;262
157;575;10084;24649;2553;3;25;1;244
73;575;12858;26838;4593;2;35;0;208
157;575;16547;26838;2553;1;15;0;162
52;595;4427;27700;515;2;11;1;625
111;445;19066;21309;1619;2;8;0;111
53;595;1368;33382;4507;3;329;3;2440
122;446;10831;13577;1508;6;13;1;125
62;595;1026;24611;4582;6;446;6;2398
157;571;10559;14450;2553;2;24;1;136
53;595;13634;28042;489;3;3;0;205
157;575;14200;24649;2553;2;17;1;173
53;607;2599;2128;516;6;19;2;81
218;580;11465;29934;4780;2;41;1;261
228;801;6255;2424;3916;6;62;3;38
155;252;3334;1163;2551;2;76;4;34
62;575;1037;24566;4582;6;441;5;2368
193;741;18981;22249;3578;3;18;1;117
139;445;4905;24390;1525;6;31;2;497
156;571;8250;30743;2552;2;30;1;372
157;575;9756;26838;2553;2;26;1;275
95;717;13814;30721;1481;2;10;0;222
234;594;12205;1;3425;6;28;1;0
100;614;1182;29680;1608;6;136;8;2510
92;144;15287;29758;1478;6;9;0;194
228;496;13605;1095;3536;6;25;1;8
157;575;16875;24649;2553;2;15;0;146
153;255;17803;34737;2451;3;13;0;195
228;705;1675;22803;3610;6;215;13;1361
78;472;15315;25221;541;1;3;0;164
218;571;6387;30743;3223;2;50;3;481
156;571;17922;21265;4446;3;24;0;118
208;445;18249;1269;3403;3;18;1;6
228;705;19017;24395;4789;6;25;1;128
161;631;18646;17954;2911;2;15;0;96
193;742;14298;30176;3391;6;23;1;211
153;255;7921;34737;2549;1;32;1;438
100;153;2766;2282;1486;6;53;3;82
156;575;803;24566;4488;3;558;19;3059
218;575;15742;24322;3873;2;24;1;154
153;255;7910;34737;2549;3;32;1;439
238;631;6814;28770;4412;2;64;3;422
157;575;14465;24649;2638;2;18;1;170
157;575;9417;24322;2553;2;27;1;258
155;252;4699;1163;2551;2;54;3;24
157;575;15488;24649;2553;2;16;1;159
95;422;16977;25721;1481;2;8;0;151
4;544;19599;33326;46;8;0;0;170
134;343;15139;5532;1520;1;10;0;36
75;502;14994;24312;511;1;3;0;162
52;595;2103;27700;4632;6;220;2;1317
156;575;1994;24566;2573;6;129;7;1231
53;422;562;25721;469;6;83;9;4576
155;252;3900;1163;4043;1;103;3;29
52;595;8147;28042;515;2;6;0;344
81;596;18367;23378;1172;2;6;0;127
101;422;12411;25721;1487;6;11;0;207
105;554;14357;27177;1830;6;12;0;189
53;472;1291;1068;516;6;39;4;82
88;313;19789;734;1474;6;7;0;3
153;255;17705;34737;2549;3;14;0;196
52;595;16268;28192;1091;2;6;0;173
100;153;11295;2282;1486;1;13;0;20
52;595;5349;28042;4572;2;85;0;524
155;252;3911;1163;4043;1;103;3;29
157;575;2092;23;2553;6;122;7;1
52;634;4446;29598;515;6;11;1;665
133;422;9294;25721;1641;2;17;1;276
52;595;16722;22081;515;2;3;0;132
53;607;1448;34260;603;3;41;3;2366
61;616;13006;7573;4581;6;35;0;58
186;483;19291;6177;2991;2;15;0;32
157;575;2592;26838;2553;6;98;6;1035
62;595;11683;22081;875;2;7;0;189
100;389;2071;33300;1486;6;71;4;1607
155;252;15231;1163;2483;2;16;1;7
153;255;152;33551;4474;3;2943;100;22073
53;601;12087;32141;516;2;4;0;265
157;575;5495;26838;4478;3;81;2;488
155;252;15617;1163;2551;2;16;0;7
105;456;18278;28241;1830;2;10;0;154
52;595;9323;22081;4506;2;48;0;236
124;445;12218;21309;1510;1;12;1;174
157;575;3859;24322;2553;2;66;4;630
155;252;4010;1163;4043;1;100;3;29
100;420;4539;21280;1486;6;32;2;468
157;575;12771;26838;2553;2;19;1;210
193;742;18009;27462;3199;2;17;1;152
155;252;3999;1163;4043;1;101;3;29
139;156;15966;16682;1525;2;9;0;104
231;573;2877;25364;3885;6;135;8;881
93;170;5861;18102;1479;6;25;1;308
240;626;14925;22914;1534;6;10;1;153
92;422;2342;25721;1709;8;72;3;1098
196;741;4631;22249;3581;6;77;4;480
52;252;15787;1163;836;1;5;0;7
155;252;3310;1163;4476;2;135;4;35
196;743;19298;27639;3960;2;20;1;143
124;445;3508;24390;1849;6;52;3;695
156;571;18770;14450;4466;3;23;0;76
153;255;2785;33551;2549;6;91;5;1204
235;473;20020;27222;3683;6;18;1;135
53;595;1234;24611;4573;3;370;4;1994
75;595;20057;1;538;2;2;0;0
156;571;5639;30743;4477;3;79;2;545
95;445;5317;6400;1481;6;27;1;120
91;445;9882;24390;1355;6;13;0;246
157;575;19573;26838;2553;3;13;0;137
62;595;3192;33382;897;2;28;1;1045
157;575;19518;26838;2553;2;13;0;137
155;252;7648;1163;2551;3;33;2;15
218;580;9601;29934;3377;3;35;2;311
155;252;17410;1163;2551;2;14;0;6
124;683;2792;21846;1739;6;62;4;782
155;252;9220;1163;4445;2;48;1;12
52;595;9301;22081;4506;2;48;0;237
95;436;19160;6553;1481;2;7;0;34
234;624;6071;21356;3277;6;53;3;351
100;575;19408;24322;2047;2;10;0;125
102;489;9180;31018;1610;2;17;1;337
96;186;6466;30239;1545;6;23;1;467
240;207;8565;24820;1534;6;17;2;289
52;595;5738;22081;515;2;8;0;384
53;601;20044;32141;558;2;2;0;160
75;595;10125;22081;538;2;5;0;218
157;575;16569;26838;2553;2;15;0;161
75;720;7058;33625;4594;1;65;1;476
218;571;9186;30743;4683;2;50;2;334
53;595;14183;29762;4106;2;28;0;209
53;595;19128;27739;558;2;2;0;145
72;456;14579;29248;508;6;3;0;200
140;516;3890;30328;1526;6;39;3;779
138;445;10955;24945;1646;6;15;1;227
52;595;8440;1;515;2;6;0;0
52;626;7192;22196;515;2;7;0;308
155;252;9915;1163;2473;2;24;1;11
52;595;11033;27472;515;2;4;0;248
100;445;18408;21309;2398;2;13;0;115
153;255;4948;34737;4474;2;90;3;702
52;595;5192;1;4572;2;88;1;0
218;580;9935;29934;3738;2;37;2;301
95;152;18808;24592;1481;2;7;0;130
52;595;17727;28024;515;6;2;0;158
73;658;1443;28460;4593;3;318;5;1972
53;595;8896;24611;603;3;6;0;276
130;300;2714;6170;1516;6;55;4;227
155;252;5853;1163;4476;2;76;2;19
52;595;5681;28042;515;3;9;0;493
228;516;12438;33939;3610;6;29;1;272
95;489;15058;31018;1481;2;9;0;205
53;595;5964;28042;516;2;8;0;470
52;595;6029;7093;515;2;8;0;117
157;575;13011;24649;2553;2;19;1;189
62;607;8218;4288;611;3;7;0;52
236;631;19753;28770;4410;3;22;1;145
157;575;12264;26838;4478;2;36;1;218
62;575;1554;24566;4582;6;294;3;1580
54;595;2234;24611;604;3;27;2;1101
153;255;252;33551;4474;6;1775;60;13313
52;723;5733;741;4572;6;79;0;12
53;595;9215;7093;4573;2;49;0;76
52;595;5480;1;515;2;9;0;0
52;595;4794;28024;4572;3;95;1;584
146;607;5533;34260;1654;6;29;2;619
157;571;17130;14450;2553;2;14;0;84
228;589;15844;828;3882;6;24;1;5
117;442;15472;2047;1503;1;9;0;13
75;575;16328;24649;538;2;3;0;150
52;595;15884;28042;515;2;3;0;176
62;575;958;24322;4582;3;478;6;2538
53;720;8866;33625;516;6;5;0;379
156;571;8965;21265;2454;3;27;1;237
75;552;5459;24364;4594;6;84;1;446
75;584;7060;29197;4594;2;65;1;413
155;252;3772;1163;4476;2;118;4;30
218;571;9803;30743;3601;2;36;2;313
53;596;7409;23378;4573;3;61;0;315
53;595;8695;24611;4573;3;52;0;283
53;595;8739;24611;4573;3;52;0;281
53;596;6003;23378;603;2;10;0;389
65;626;2391;21308;454;6;18;2;891
52;607;5059;28054;4572;6;90;1;554
218;496;12680;1095;3223;6;25;1;8
53;595;3724;18709;769;2;20;1;502
52;595;4035;7093;4572;2;113;1;175
52;596;11694;23378;515;2;4;0;199
101;489;12164;31018;1550;2;12;0;254
156;575;12342;24649;2454;2;19;1;199
155;252;13845;1163;2657;3;19;1;8
54;445;16571;21309;517;2;3;0;128
68;626;11589;28150;674;3;5;0;242
54;595;5338;24611;517;6;9;1;461
157;575;1744;24322;4489;3;257;9;1394
95;419;6019;3619;1481;6;24;1;60
157;575;8930;26838;2553;2;28;1;300
155;252;19646;1163;2636;1;13;0;5
152;533;11726;22205;2439;2;20;1;189
156;571;10527;30743;2552;3;24;1;292
157;575;16316;26838;2553;2;15;0;164
91;445;19379;21309;1599;2;8;0;109
54;595;5763;28042;517;3;8;0;486
53;601;519;32141;516;6;99;10;6192
96;533;19927;22205;1604;6;8;0;111
93;814;14808;2344;1479;2;9;0;15
133;469;2364;3544;4922;6;208;5;149
68;445;18263;21309;903;2;4;0;116
53;595;8175;27700;516;2;6;0;338
53;595;3889;28192;516;3;13;1;724
155;252;11095;1163;2657;3;23;1;10
155;252;7209;1163;2551;3;35;2;16
155;252;13679;1163;2572;2;18;1;8
59;595;2543;28042;666;6;26;2;1102
157;575;11152;24649;2659;2;23;1;221
207;705;6155;23221;4705;6;76;3;377
155;252;16089;1163;2551;2;15;0;7
52;596;19024;23378;557;2;2;0;122
155;252;17665;1163;2636;3;14;0;6
75;422;4986;25721;538;6;10;1;515
53;595;5867;18709;4573;2;77;0;318
157;575;11360;24649;2553;2;22;1;216
155;252;12050;1163;2551;2;21;1;9
75;571;11740;30743;538;2;4;0;261
52;595;4563;27472;557;2;12;1;602
54;607;18666;34260;517;3;2;0;183
157;575;4660;24649;2638;2;56;3;528
124;420;19972;21280;1632;2;8;0;106
165;759;6238;34159;3133;6;50;2;547
155;252;2003;33491;2551;6;127;7;1672
53;601;8298;32141;4573;3;55;0;387
236;631;348;1673;2751;6;790;67;480
157;575;16887;24649;2638;2;15;0;145
52;637;13915;25494;638;2;4;0;183
93;170;15085;30719;1479;2;9;0;203
53;595;14565;28024;516;6;3;0;192
156;571;15008;21265;2552;2;17;1;141
153;255;4910;34737;4042;2;82;3;707
53;595;6487;7093;4573;2;70;0;109
240;446;17673;18234;1534;6;8;1;103
5;658;16688;24015;143;2;0;0;143
86;443;19456;28819;2279;2;11;0;148
52;595;17633;27700;468;3;2;0;157
157;571;15182;14450;2553;2;16;1;95
228;516;2501;27316;3916;6;156;9;1092
92;389;870;33300;1709;3;196;10;3827
